ak,bk
2000,0
7098.631202,0
11448.989321,0
15134.215809,0
18237.45212,0
20841.839709,0
23030.520029,0
24886.634534,0
26467.291337,0.000318
27811.066994,0.001514
28985.163674,0.003799
30039.016192,0.007416
31002.956323,0.012713
31854.283487,0.019919
32574.48349,0.029193
33150.077713,0.040627
33572.755452,0.05425
33838.903379,0.070047
33948.749889,0.087968
33905.354043,0.107944
33713.619958,0.129898
33379.447067,0.153751
32909.062879,0.179429
32308.540048,0.206867
31583.474656,0.236008
30738.792821,0.266805
29778.65238,0.299222
28706.410744,0.33323
27524.63598,0.368811
26235.144061,0.405952
24839.050192,0.444651
23401.537289,0.483268
21935.243905,0.521629
20451.915434,0.55957
18962.588525,0.596934
17477.722946,0.633572
16007.292029,0.669339
14560.840839,0.704098
13147.519458,0.737715
11776.097263,0.770063
10454.96287,0.801021
9192.113458,0.830473
7995.136426,0.858307
6871.185762,0.884421
5826.955022,0.908717
4868.648493,0.931103
4001.951793,0.951497
3232.002968,0.969823
2563.364936,0.98601
2000,1
