code,variable,description,units,layer,time_cell_method,cf_name
1,WS1,soil wetness of layer 1,m,1,,
2,WS2,soil wetness of layer 2,m,1,,
3,WS3,soil wetness of layer 3,m,1,,
4,WS4,soil wetness of layer 4,m,1,,
5,WS5,soil wetness of layer 5,m,1,,
6,DZR,Rooting depth,m,1,,
7,DZS,Soil depth until bedrock derived from textures,m,1,,
8,FKSAT,Saturated hydraulic conductivity (Clapp and Hornberger),m/s,1,,
9,FMPOT,Matrix potential,m,1,,
10,BCLAPP,Exponent b in Clapp and Hornberger,,1,,
11,VPOR,Volumetric soil porosity,m/m,1,,
12,ETRANS,transpiration at the surface,mm,1,,
13,EBSOIL,Bare soil evaporation at the surface,mm,1,,
14,FTKVM,turbulent transfer coefficient of momentum in the atmosphere,,109,,
15,FTKVH,turbulent transfer coefficient of heat in the atmosphere,,109,,
16,TGLAC1,GLACIER: Temperature of upper ice layer,K,1,,
17,TGLAC2,GLACIER: Temperature of lower ice layer,K,1,,
18,GLD,GLACIER: Ice thickness,m w.e.,1,,
19,GLRUN,GLACIER: Surface runoff originating runoff from glaciated fraction (reference area: total land area),mm,1,,
20,GLDRAIN,GLACIER: Drainage originating from glaciated fraction (reference area: total land area),mm,1,,
21,GLACIER,GLACIER: Fractional glacier cover,,1,,
22,TD3G,GLACIER: Soil temperature of glaciated fraction (1st layer),K,1,,
23,TD4G,GLACIER: Soil temperature of glaciated fraction (2nd layer),K,1,,
24,TD5G,GLACIER: Soil temperature of glaciated fraction (3rd layer),K,1,,
25,TDG,GLACIER: Soil temperature of glaciated fraction (4th layer),K,1,,
26,TDCLG,GLACIER: Soil temperature of glaciated fraction (5th layer),K,1,,
27,WI3G,GLACIER: Fraction of frozen soil of glaciated fraction (1st layer),,1,,
28,WI4G,GLACIER: Fraction of frozen soil of glaciated fraction (2nd layer),,1,,
29,WI5G,GLACIER: Fraction of frozen soil of glaciated fraction (3rd layer),,1,,
30,WIG,GLACIER: Fraction of frozen soil of glaciated fraction (4th layer),,1,,
31,WICLG,GLACIER: Fraction of frozen soil of glaciated fraction (5th layer),,1,,
32,GLACCI,GLACIER: Ice accumulation on glaciated fraction (reference area: glaciated area),mm w.e.,1,,
