code,variable,description,units,layer,time_cell_method,cf_name
470,FLTMWAT,mean temperature of the water column,K,1,mean,
471,FLTMIX,mixed-layer temperature,K,1,mean,
472,FLTWBSED,temperature at the water-bottom sediment interface,K,1,mean,
473,FLTULSED,temperature at the bottom of the upper layer of the sediments,K,1,mean,
474,FLSHF,shape factor (thermocline),,1,mean,
475,FLHSN,snow thickness,m,1,mean,
476,FLHICE,ice thickness,m,1,mean,
477,FLHMIX,thickness of the mixed-layer,m,1,mean,
478,FLHULBS,thickness of the upper layer of bottom sediments,m,1,mean,
479,FLTSN,temperature at the air-snow interface,K,1,mean,
480,FLTICE,temperature at the snow-ice or air-ice interface,K,1,mean,
481,QDBFL,surface specific humidity over lake fraction,kg/kg,1,mean,
482,TSFLECH,surface temperature over lakes,K,1,mean,
483,BFLHSFL,surface sensible heat flux on lake fraction (PROGEXP),W/m²,1,mean,
484,AHFSFL,surface sensible heat flux on lake fraction (VDIFF),W/m²,1,mean,
485,BFLQDSFL,surface latent heat flux on lake fraction (PROGEXP),W/m²,1,mean,
486,AHFLFL,surface latent heat flux on lake fraction (VDIFF),W/m²,1,mean,
487,AZ0FL,surface roughness length of lake fraction,m,1,mean,
488,ALSOFL,surface albedo of lake fraction,,1,mean,
489,USTRFL,surface u-stress over lake fraction,Pa,1,mean,
490,VSTRFL,surface v-stress over lake fraction,Pa,1,mean,
491,EVAPFL,surface evaporation on lake fraction,mm,1,mean,
492,TMCHFL,turbulent transfer coefficient of heat at the surface on lake fraction,,1,mean,
493,FLFRA,lake fraction,,,,
494,FLADE,lake depth,m,,,
495,EMTERFL,effective emissivity of lakes,,,,
