region,short_name,long_name,nlon,nlat,ll_lon,ll_lat,dlon,dlat,pollon,pollat
5,AFR-11,Remo Africa,801,865,-26.235,-49.335,0.11,0.11,180.0,90.0
5,AFR-22,Remo Africa,401,433,-26.29,-49.39,0.22,0.22,180.0,90.0
5,AFR-44,Remo Africa,217,217,-29.92,-49.28,0.44,0.44,180.0,90.0
9,AUS-11,Remo Australasia,811,541,321.49,-60.2,0.11,0.11,141.38,60.31
9,AUS-22,Remo Australasia,433,271,138.31,-24.53,0.22,0.22,141.38,60.31
9,AUS-44,Remo Australasia,217,145,321.82,-59.87,0.44,0.44,141.38,60.31
2,CAM-11,Remo Central America,865,481,294.09,-75.63,0.11,0.11,113.98,75.74
2,CAM-22,Remo Central America,433,241,-54.45,-30.47,0.22,0.22,113.98,75.74
2,CAM-44,Remo Central America,241,129,-59.84,-32.12,0.44,0.44,113.98,75.74
8,CAS-11,Remo Central Asia,641,433,-36.025,-22.605,0.11,0.11,-103.39,43.48
8,CAS-22,Remo Central Asia,325,217,-36.63,-22.77,0.22,0.22,-103.39,43.48
8,CAS-44,Remo Central Asia,181,121,-40.48,-25.52,0.44,0.44,-103.39,43.48
7,EAS-11,Remo East Asia,811,513,116.41,-60.89,0.11,0.11,-63.7,61.0
7,EAS-22,Remo East Asia,433,271,-47.41,-24.3,0.22,0.22,296.3,61.0
7,EAS-44,Remo East Asia,201,165,476.74,-60.56,0.44,0.44,296.3,61.0
4,EUR-11,Remo Europe high-res.,433,433,-28.925,-23.925,0.11,0.11,-162.0,39.25
4,EUR-22,Remo Europe,241,217,18.22,-39.03,0.22,0.22,-162.0,39.25
4,EUR-44,Remo Europe,129,121,-31.73,-26.73,0.44,0.44,-162.0,39.25
3,NAM-11,Remo North America,641,541,263.11,-42.39,0.11,0.11,83.0,42.5
3,NAM-22,Remo North America,321,271,-35.31,-29.83,0.22,0.22,83.0,42.5
3,NAM-44,Remo North America,181,151,-39.6,-33.24,0.44,0.44,83.0,42.5
1,SAM-11,Remo South America,601,721,124.05,-70.49,0.11,0.11,-56.06,70.6
1,SAM-22,Remo South America,301,361,142.71,-41.47,0.22,0.22,-56.06,70.6
1,SAM-44,Remo South America,161,181,140.4,-41.36,0.44,0.44,-56.06,70.6
14,SEA-22,Remo South East Asia,289,217,86.4,-17.82,0.22,0.22,180.0,90.0
6,WAS-22,Remo South Asia,401,271,-33.99,-22.99,0.22,0.22,-123.34,79.95
